,State,Population,Deaths,Rate,Avg_Unemployment
0,Alabama,4833722,723,0.0001495741790694624,6.516666666666667
1,Alaska,735132,124,0.00016867718994683948,6.541666666666665
2,Arizona,6626624,1211,0.00018274765551810397,7.0
3,Arkansas,2959373,356,0.00012029575183662217,6.391666666666667
4,California,38332521,4521,0.0001179416297717544,7.55
5,Colorado,5268367,899,0.00017064111137284096,5.266666666666667
6,Connecticut,3596080,623,0.00017324419923917154,6.716666666666668
7,Delaware,925749,189,0.00020415901070376527,6.066666666666667
8,Florida,19552860,2634,0.0001347117506083509,6.108333333333333
9,Georgia,9992167,1206,0.000120694540033208,7.375000000000001
10,Hawaii,1404054,157,0.00011181906109024297,4.325
11,Idaho,1612136,212,0.00013150255313447502,4.683333333333334
12,Illinois,12882135,1705,0.00013235383731035268,7.300000000000001
13,Indiana,6570902,1172,0.00017836211832104634,5.858333333333334
14,Iowa,3090416,264,8.542539256850857e-05,4.3999999999999995
15,Kansas,2893957,332,0.00011472181514790991,4.716666666666666
16,Kentucky,4395295,1077,0.00024503474738328144,7.108333333333334
17,Louisiana,4625470,777,0.00016798292930231954,5.408333333333334
18,Maine,1328302,216,0.00016261362250452081,5.75
19,Maryland,5928814,1070,0.00018047454347530552,5.824999999999999
20,Massachusetts,6692824,1289,0.0001925943368598965,5.95
21,Michigan,9895622,1762,0.00017805853942278718,7.316666666666666
22,Minnesota,5420380,517,9.538076666211594e-05,4.3500000000000005
23,Mississippi,2991207,336,0.00011232923699362832,7.608333333333333
24,Missouri,6044171,1067,0.00017653372149795232,6.233333333333333
25,Montana,1015165,125,0.00012313269271497737,4.691666666666666
26,Nebraska,1868516,125,6.689800890118148e-05,3.475
27,Nevada,2790136,545,0.00019533098028196478,7.7250000000000005
28,New Hampshire,1323459,334,0.0002523689815853759,4.466666666666668
29,New Jersey,8899339,1253,0.0001407969737977169,6.708333333333333
30,New Mexico,2085287,547,0.0002623140124117208,6.583333333333333
31,New York,19651127,2300,0.00011704163328647768,6.45
32,North Carolina,9848060,1358,0.00013789517935512173,6.333333333333333
33,North Dakota,723393,43,5.944210131975289e-05,2.6999999999999997
34,Ohio,11570808,2744,0.00023714852065646582,5.691666666666666
35,Oklahoma,3850568,777,0.0002017884114759173,4.658333333333333
36,Oregon,3930065,522,0.00013282223067557407,6.941666666666666
37,Pennsylvania,12773801,2732,0.0002138752592121953,5.666666666666667
38,Rhode Island,1051511,247,0.00023490006286191963,7.966666666666666
39,South Carolina,4774839,701,0.00014681123279758752,6.016666666666667
40,South Dakota,844877,63,7.456706715888821e-05,3.5749999999999993
41,Tennessee,6495978,1269,0.0001953516468190009,6.866666666666666
42,Texas,26448193,2601,9.834320250158491e-05,5.208333333333334
43,Utah,2900872,603,0.00020786853056598158,3.6833333333333336
44,Vermont,626630,83,0.00013245455851140225,3.858333333333333
45,Virginia,8260405,980,0.00011863825078794562,5.141666666666666
46,Washington,6971406,979,0.00014043078254228773,6.041666666666667
47,West Virginia,1854304,627,0.000338132258788203,6.233333333333333
48,Wisconsin,5742713,853,0.00014853606648982808,5.666666666666667
49,Wyoming,582658,109,0.00018707372077616722,4.258333333333334
